altman_score,piotroski_score,involvement_msci.Controversial Weapons,involvement_msci.Gambling,involvement_msci.Tobacco Products,involvement_msci.Alcoholic Beverages,Controversies_score_ESG,global_target_aligned,SBTI_reduction_aligned,Tempurature_aligned
-2.83,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.4,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.49,4.0,0.0,0.0,0.0,0.0,0.0,1,0,1
6.81,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-4.88,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.11,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.12,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.26,3.0,0.0,0.0,0.0,0.0,2.0,1,0,1
1.29,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.4,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.15,8.0,0.0,0.0,0.0,0.0,4.0,1,0,0
9.86,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.83,7.0,0.0,0.0,0.0,1.0,7.0,1,1,0
7.2,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.33,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.21,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.97,6.0,0.0,0.0,0.0,0.0,5.0,1,0,0
0.46,6.0,0.0,0.0,0.0,0.0,2.0,1,0,1
5.67,3.0,0.0,0.0,0.0,0.0,0.0,1,0,1
7.63,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.93,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.08,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.24,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.36,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.64,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.95,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
58.64,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.04,5.0,0.0,0.0,0.0,0.0,0.0,1,0,1
48.79,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.46,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
15.32,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.56,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.4,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.49,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.37,9.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.49,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.56,6.0,0.0,0.0,0.0,0.0,1.0,1,1,0
2.42,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9.08,4.0,0.0,0.0,0.0,0.0,0.0,1,1,0
4.19,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.72,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.31,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.95,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-45.91,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.32,7.0,0.0,0.0,0.0,0.0,3.0,1,1,0
4.39,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.94,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.54,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.68,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-7.51,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.51,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.42,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
23.64,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.34,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.84,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1
7.56,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.87,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.18,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.3,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-4.43,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8.1,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.77,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-0.6,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.68,6.0,1.0,0.0,0.0,0.0,3.0,1,1,0
2.88,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.37,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.49,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.98,3.0,0.0,0.0,0.0,0.0,2.0,1,0,1
-7.87,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.71,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.67,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
29.22,7.0,0.0,0.0,0.0,0.0,2.0,0,0,0
2.81,5.0,0.0,1.0,0.0,0.0,0.0,1,0,0
1.4,5.0,0.0,0.0,0.0,0.0,4.0,1,0,0
2.29,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-3.78,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.2,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
9.54,5.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2.0,5.0,0.0,0.0,0.0,0.0,2.0,1,1,0
4.05,7.0,0.0,0.0,0.0,0.0,1.0,0,0,0
1.81,8.0,0.0,0.0,0.0,0.0,2.0,0,0,0
8.07,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.24,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-16.08,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.04,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.36,6.0,0.0,0.0,0.0,1.0,5.0,0,0,0
12.23,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-1.51,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.04,8.0,0.0,0.0,0.0,0.0,2.0,1,1,0
1.66,4.0,0.0,0.0,0.0,0.0,1.0,0,0,0
1.91,3.0,0.0,0.0,0.0,0.0,0.0,1,0,1
6.77,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.8,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.67,6.0,0.0,0.0,0.0,0.0,0.0,1,0,1
4.39,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-23.54,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.43,5.0,0.0,0.0,0.0,0.0,1.0,1,1,0
2.53,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0
6.05,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.98,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.58,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-11.64,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.72,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.76,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.38,6.0,0.0,0.0,1.0,1.0,0.0,0,0,0
4.31,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.72,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
